run_id,tick,event_type,robot_id,task_id,details
20260909_025527_43679f,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=E-04
20260909_025527_43679f,3,task_assigned,R3,G00001,
20260909_025527_43679f,5,task_created,,G00002,type=PICK pickup=F-05 dropoff=PICK-2
20260909_025527_43679f,5,task_assigned,R2,G00002,
20260909_025527_43679f,7,task_created,,G00003,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025527_43679f,7,task_assigned,R5,G00003,
20260909_025527_43679f,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025527_43679f,9,task_assigned,R1,G00004,
20260909_025527_43679f,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=F-04
20260909_025527_43679f,11,task_assigned,R4,G00005,
20260909_025527_43679f,15,task_created,,G00006,type=PICK pickup=D-06 dropoff=PICK-2
20260909_025527_43679f,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=A-07
20260909_025527_43679f,19,task_created,,G00008,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025527_43679f,20,task_completed,R1,G00004,
20260909_025527_43679f,21,task_completed,R2,G00002,
20260909_025527_43679f,21,task_assigned,R1,G00008,
20260909_025527_43679f,22,task_assigned,R2,G00006,
20260909_025527_43679f,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025527_43679f,25,task_completed,R3,G00001,
20260909_025527_43679f,25,task_created,,G00010,type=PICK pickup=E-08 dropoff=PICK-2
20260909_025527_43679f,26,task_assigned,R3,G00009,
20260909_025527_43679f,27,task_created,,G00011,type=PUTAWAY pickup=RECV dropoff=F-07
20260909_025527_43679f,27,robot_blocked,R2,,"{""x"": 17, ""y"": 8}"
20260909_025527_43679f,28,robot_blocked,R5,,"{""x"": 18, ""y"": 8}"
20260909_025527_43679f,31,task_created,,G00012,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025527_43679f,34,robot_blocked,R3,,"{""x"": 12, ""y"": 5}"
20260909_025527_43679f,34,robot_blocked,R4,,"{""x"": 12, ""y"": 6}"
20260909_025527_43679f,35,task_created,,G00013,type=PUTAWAY pickup=RECV dropoff=D-02
20260909_025527_43679f,35,task_created,,G00014,type=PICK pickup=D-08 dropoff=PICK-1
20260909_025527_43679f,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025527_43679f,40,task_completed,R5,G00003,
20260909_025527_43679f,41,task_assigned,R5,G00015,
20260909_025527_43679f,43,task_created,,G00016,type=PUTAWAY pickup=BUFFER dropoff=G-01
20260909_025527_43679f,43,task_created,,G00017,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025527_43679f,45,task_created,,G00018,type=PICK pickup=C-03 dropoff=PICK-2
20260909_025527_43679f,47,task_completed,R3,G00009,
20260909_025527_43679f,48,task_completed,R4,G00005,
20260909_025527_43679f,48,task_assigned,R3,G00012,
20260909_025527_43679f,48,task_completed,R5,G00015,
20260909_025527_43679f,49,task_completed,R2,G00006,
20260909_025527_43679f,49,task_assigned,R5,G00010,
20260909_025527_43679f,49,task_assigned,R4,G00017,
20260909_025527_43679f,50,task_assigned,R2,G00014,
20260909_025527_43679f,51,task_created,,G00019,type=PUTAWAY pickup=BUFFER dropoff=G-05
20260909_025527_43679f,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025527_43679f,52,task_completed,R1,G00008,
20260909_025527_43679f,53,task_assigned,R1,G00020,
20260909_025527_43679f,55,task_created,,G00021,type=PICK pickup=C-02 dropoff=PICK-1
20260909_025527_43679f,55,task_created,,G00022,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025527_43679f,59,task_created,,G00023,type=PUTAWAY pickup=RECV dropoff=G-04
20260909_025527_43679f,60,task_completed,R1,G00020,
20260909_025527_43679f,61,task_assigned,R1,G00022,
20260909_025527_43679f,65,task_created,,G00024,type=PICK pickup=G-05 dropoff=PICK-3
20260909_025527_43679f,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025527_43679f,67,task_created,,G00026,type=PUTAWAY pickup=RECV dropoff=G-01
20260909_025527_43679f,67,task_created,,G00027,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_025527_43679f,74,task_completed,R3,G00012,
20260909_025527_43679f,75,task_assigned,R3,G00025,
20260909_025527_43679f,75,task_created,,G00028,type=PUTAWAY pickup=BUFFER dropoff=F-05
20260909_025527_43679f,75,task_created,,G00029,type=PICK pickup=E-04 dropoff=PICK-1
20260909_025527_43679f,76,task_completed,R4,G00017,
20260909_025527_43679f,77,task_assigned,R4,G00027,
20260909_025527_43679f,79,task_completed,R5,G00010,
20260909_025527_43679f,79,task_created,,G00030,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025527_43679f,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025527_43679f,80,task_assigned,R5,G00031,
20260909_025527_43679f,81,task_completed,R3,G00025,
20260909_025527_43679f,82,task_assigned,R3,G00030,
20260909_025527_43679f,83,task_created,,G00032,type=PUTAWAY pickup=RECV dropoff=D-03
20260909_025527_43679f,85,task_created,,G00033,type=PICK pickup=F-01 dropoff=PICK-3
20260909_025527_43679f,88,task_completed,R1,G00022,
20260909_025527_43679f,89,task_assigned,R1,G00018,
20260909_025527_43679f,90,task_completed,R5,G00031,
20260909_025527_43679f,91,task_completed,R2,G00014,
20260909_025527_43679f,91,task_created,,G00034,type=PUTAWAY pickup=BUFFER dropoff=E-04
20260909_025527_43679f,91,task_created,,G00035,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025527_43679f,91,task_assigned,R5,G00035,
20260909_025527_43679f,92,task_assigned,R2,G00021,
20260909_025527_43679f,93,task_created,,G00036,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025527_43679f,95,task_created,,G00037,type=PICK pickup=H-01 dropoff=PICK-2
20260909_025527_43679f,99,task_completed,R4,G00027,
20260909_025527_43679f,99,task_created,,G00038,type=PUTAWAY pickup=RECV dropoff=D-03
20260909_025527_43679f,100,task_assigned,R4,G00036,
20260909_025527_43679f,103,task_created,,G00039,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025527_43679f,105,task_created,,G00040,type=PICK pickup=H-04 dropoff=PICK-3
20260909_025527_43679f,107,task_completed,R4,G00036,
20260909_025527_43679f,107,task_created,,G00041,type=PUTAWAY pickup=BUFFER dropoff=E-07
20260909_025527_43679f,107,task_created,,G00042,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025527_43679f,108,task_completed,R3,G00030,
20260909_025527_43679f,108,task_assigned,R4,G00042,
20260909_025527_43679f,109,task_completed,R1,G00018,
20260909_025527_43679f,109,task_assigned,R3,G00039,
20260909_025527_43679f,110,task_assigned,R1,G00024,
20260909_025527_43679f,113,task_completed,R5,G00035,
20260909_025527_43679f,113,task_completed,R4,G00042,
20260909_025527_43679f,114,task_assigned,R5,G00029,
20260909_025527_43679f,114,task_assigned,R4,G00033,
20260909_025527_43679f,115,task_created,,G00043,type=PUTAWAY pickup=RECV dropoff=D-05
20260909_025527_43679f,115,task_created,,G00044,type=PICK pickup=B-08 dropoff=PICK-3
