tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,5,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,5,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,4,0,0,0,0,0,99.93,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,4,0,0,0,0,0,99.86,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,3,0,0,0,0,0,99.72,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,3,0,0,0,0,0,99.58,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,2,0,0,0,0,0,99.37,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,2,0,0,0,0,0,99.16,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,1,0,0,0,0,0,98.88,97.55,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,1,0,0,0,0,0,98.6,97.2,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,0,0,0,0,0,0,98.25,96.85,99.65,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,97.9,96.5,99.3,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,97.55,96.15,98.95,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,97.17,95.8,98.6,0.0,0.0,0.0,0.0
15,1,6.0,1.0,0.0,0.0,0.0,5,0,0,0,0,0,0,96.79,95.45,98.25,0.0,0.0,0.0,0.0
16,1,6.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,96.41,95.1,97.9,0.0,0.0,0.0,0.0
17,1,6.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,96.03,94.75,97.55,0.0,0.0,0.0,0.0
18,1,6.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,95.59,94.25,97.2,0.0,0.0,0.0,0.0
19,3,8.0,2.0,0.0,0.0,0.0,5,0,0,0,0,0,0,95.15,93.75,96.85,0.0,0.0,0.0,0.0
20,3,7.0,0.0,1.0,1.0,0.0,4,1,0,0,0,0,0,94.71,93.25,96.5,0.0,0.0,0.0,0.0
21,2,6.0,0.0,1.0,2.0,0.0,4,1,0,0,0,0,0,94.3,92.75,96.15,0.0,0.0,0.0,0.0
22,1,6.0,0.0,0.0,2.0,0.0,5,0,0,0,0,0,0,93.92,92.25,95.8,0.0,0.0,0.0,0.0
23,2,7.0,1.0,0.0,2.0,0.0,5,0,0,0,0,0,0,93.54,91.75,95.45,0.0,0.0,0.0,0.0
24,2,7.0,0.0,0.0,2.0,0.0,5,0,0,0,0,0,0,93.16,91.25,95.1,0.0,0.0,0.0,0.0
25,3,7.0,1.0,1.0,3.0,0.0,4,1,0,0,0,0,0,92.78,90.75,94.75,0.0,0.0,0.0,0.0
26,2,7.0,0.0,0.0,3.0,0.0,5,0,0,0,0,0,0,92.4,90.4,94.4,0.0,0.0,0.0,0.0
27,3,8.0,1.0,0.0,3.0,0.0,4,0,1,0,0,0,0,92.09,90.05,94.05,0.0,0.0,1.0,1.0
