tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,12,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,12,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,11,0,0,0,0,0,99.9708,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,11,0,0,0,0,0,99.9292,99.15,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,10,0,0,0,0,0,99.8583,98.65,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,10,0,0,0,0,0,99.7875,98.15,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,9,0,0,0,0,0,99.6875,97.65,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,9,0,0,0,0,0,99.5875,97.15,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,8,0,0,0,0,0,99.4583,96.65,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,8,0,0,0,0,0,99.3292,96.15,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,7,0,0,0,0,0,99.1708,95.65,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,7,0,0,0,0,0,99.0,95.15,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,7,0,0,0,0,0,98.8292,94.65,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,7,0,0,0,0,0,98.6458,94.15,100.0,0.0,0.0,0.0,0.0
15,0,6.0,1.0,0.0,0.0,0.0,6,6,0,0,0,0,0,98.4333,93.65,100.0,0.0,0.0,0.0,0.0
16,0,5.0,0.0,1.0,1.0,0.0,5,7,0,0,0,0,0,98.2083,93.15,100.0,0.0,0.0,0.0,0.0
17,0,5.0,0.0,0.0,1.0,0.0,5,7,0,0,0,0,0,98.025,92.65,100.0,0.0,0.0,0.0,0.0
18,0,4.0,0.0,1.0,2.0,0.0,4,8,0,0,0,0,0,97.8417,92.15,100.0,0.0,0.0,0.0,0.0
19,0,6.0,2.0,0.0,2.0,0.0,6,6,0,0,0,0,0,97.6417,91.8,100.0,0.0,0.0,0.0,0.0
20,0,6.0,0.0,0.0,2.0,0.0,6,6,0,0,0,0,0,97.4417,91.45,100.0,0.0,0.0,0.0,0.0
21,0,6.0,0.0,0.0,2.0,0.0,6,6,0,0,0,0,0,97.2417,91.1,100.0,0.0,0.0,0.0,0.0
22,0,4.0,0.0,2.0,4.0,0.0,4,8,0,0,0,0,0,97.0417,90.75,100.0,0.0,0.0,0.0,0.0
23,0,5.0,1.0,0.0,4.0,0.0,5,7,0,0,0,0,0,96.8833,90.4,100.0,0.0,0.0,0.0,0.0
24,0,5.0,0.0,0.0,4.0,0.0,5,7,0,0,0,0,0,96.725,90.05,100.0,0.0,0.0,0.0,0.0
25,0,6.0,1.0,0.0,4.0,0.0,6,6,0,0,0,0,0,96.525,89.55,100.0,0.0,0.0,0.0,0.0
26,0,6.0,0.0,0.0,4.0,0.0,6,6,0,0,0,0,0,96.325,89.05,100.0,0.0,0.0,0.0,0.0
27,0,7.0,1.0,0.0,4.0,0.0,7,5,0,0,0,0,0,96.0958,88.55,100.0,0.0,0.0,0.0,0.0
28,0,7.0,0.0,0.0,4.0,0.0,7,5,0,0,0,0,0,95.8417,88.05,100.0,0.0,0.0,0.0,0.0
29,0,7.0,0.0,0.0,4.0,0.0,7,5,0,0,0,0,0,95.5875,87.55,100.0,0.0,0.0,0.0,0.0
30,0,6.0,0.0,1.0,5.0,0.0,6,6,0,0,0,0,0,95.3333,87.05,100.0,0.0,0.0,0.0,0.0
31,0,7.0,1.0,0.0,5.0,0.0,6,5,1,0,0,0,0,95.1208,86.55,100.0,0.0,0.0,1.0,1.0
32,0,7.0,0.0,0.0,5.0,0.0,7,5,0,0,0,0,0,94.8667,86.05,100.0,0.0,0.0,0.0,1.0
33,0,6.0,0.0,1.0,6.0,0.0,6,6,0,0,0,0,0,94.6125,85.55,100.0,0.0,0.0,0.0,1.0
34,0,6.0,0.0,0.0,6.0,0.0,6,6,0,0,0,0,0,94.4,85.05,100.0,0.0,0.0,0.0,1.0
35,0,7.0,2.0,1.0,7.0,0.0,6,5,1,0,0,0,0,94.1583,84.55,100.0,0.0,0.0,1.0,2.0
36,0,7.0,0.0,0.0,7.0,0.0,7,5,0,0,0,0,0,93.9292,84.05,100.0,0.0,0.0,0.0,2.0
37,0,7.0,1.0,1.0,8.0,0.0,7,5,0,0,0,0,0,93.6708,83.55,100.0,0.0,0.0,0.0,2.0
38,0,7.0,0.0,0.0,8.0,0.0,7,5,0,0,0,0,0,93.4417,83.55,100.0,0.0,0.0,0.0,2.0
39,0,7.0,0.0,0.0,8.0,0.0,5,5,2,0,0,0,0,93.2833,83.55,100.0,0.0,0.0,2.0,4.0
40,0,7.0,0.0,0.0,8.0,0.0,6,5,1,0,0,0,0,93.0958,83.55,100.0,1.0,1.0,1.0,5.0
41,0,7.0,0.0,0.0,8.0,0.0,7,5,0,0,0,0,0,92.8375,83.55,100.0,0.0,1.0,0.0,5.0
42,0,7.0,0.0,0.0,8.0,0.0,6,5,1,0,0,0,0,92.6375,83.55,100.0,0.0,1.0,1.0,6.0
43,0,9.0,2.0,0.0,8.0,0.0,9,3,0,0,0,0,0,92.3375,83.2,100.0,0.0,1.0,0.0,6.0
44,0,8.0,0.0,1.0,9.0,0.0,8,4,0,0,0,0,0,92.025,82.85,100.0,0.0,1.0,0.0,6.0
45,0,9.0,1.0,0.0,9.0,0.0,9,3,0,0,0,0,0,91.725,82.5,100.0,0.0,1.0,0.0,6.0
46,0,9.0,0.0,0.0,9.0,0.0,9,3,0,0,0,0,0,91.425,82.15,100.0,0.0,1.0,0.0,6.0
47,0,9.0,0.0,0.0,9.0,0.0,9,3,0,0,0,0,0,91.125,81.8,100.0,0.0,1.0,0.0,6.0
48,0,9.0,0.0,0.0,9.0,0.0,9,3,0,0,0,0,0,90.8125,81.45,100.0,0.0,1.0,0.0,6.0
49,0,8.0,0.0,1.0,10.0,0.0,8,4,0,0,0,0,0,90.4875,80.95,100.0,0.0,1.0,0.0,6.0
50,0,8.0,0.0,0.0,10.0,0.0,8,4,0,0,0,0,0,90.2042,80.45,100.0,0.0,1.0,0.0,6.0
51,0,10.0,2.0,0.0,10.0,0.0,9,2,1,0,0,0,0,89.8792,79.95,100.0,0.0,1.0,1.0,7.0
52,0,10.0,0.0,0.0,10.0,0.0,10,2,0,0,0,0,0,89.525,79.45,100.0,0.0,1.0,0.0,7.0
53,0,8.0,0.0,2.0,12.0,0.0,8,4,0,0,0,0,0,89.1583,78.95,100.0,0.0,1.0,0.0,7.0
54,0,8.0,0.0,0.0,12.0,0.0,8,4,0,0,0,0,0,88.8625,78.45,100.0,0.0,1.0,0.0,7.0
55,0,10.0,2.0,0.0,12.0,0.0,10,2,0,0,0,0,0,88.5083,77.95,100.0,0.0,1.0,0.0,7.0
56,0,10.0,0.0,0.0,12.0,0.0,10,2,0,0,0,0,0,88.1542,77.45,100.0,0.0,1.0,0.0,7.0
57,0,10.0,0.0,0.0,12.0,0.0,10,2,0,0,0,0,0,87.8,76.95,100.0,0.0,1.0,0.0,7.0
58,0,9.0,0.0,1.0,13.0,0.0,8,3,1,0,0,0,0,87.4875,76.45,100.0,0.0,1.0,1.0,8.0
59,0,10.0,1.0,0.0,13.0,0.0,10,2,0,0,0,0,0,87.1333,75.95,100.0,0.0,1.0,0.0,8.0
60,0,10.0,0.0,0.0,13.0,0.0,10,2,0,0,0,0,0,86.7667,75.45,100.0,0.0,1.0,0.0,8.0
61,0,9.0,0.0,1.0,14.0,0.0,6,3,3,0,0,0,0,86.5125,75.45,100.0,0.0,1.0,3.0,11.0
62,0,9.0,0.0,0.0,14.0,0.0,8,3,1,0,0,0,0,86.3,75.45,100.0,2.0,3.0,3.0,14.0
