run_id,tick,event_type,robot_id,task_id,details
20260909_105622_cfaf43,3,task_created,,G00001,type=PUTAWAY pickup=BUFFER dropoff=F-08
20260909_105622_cfaf43,3,task_assigned,R1,G00001,
20260909_105622_cfaf43,5,task_created,,G00002,type=PICK pickup=F-02 dropoff=PICK-2
20260909_105622_cfaf43,5,task_assigned,R7,G00002,
20260909_105622_cfaf43,7,task_created,,G00003,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_105622_cfaf43,7,task_assigned,R4,G00003,
20260909_105622_cfaf43,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_105622_cfaf43,9,task_assigned,R16,G00004,
20260909_105622_cfaf43,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=B-07
20260909_105622_cfaf43,11,task_assigned,R8,G00005,
20260909_105622_cfaf43,12,task_completed,R1,G00001,
20260909_105622_cfaf43,12,task_completed,R16,G00004,
20260909_105622_cfaf43,15,task_created,,G00006,type=PICK pickup=A-08 dropoff=PICK-2
20260909_105622_cfaf43,15,task_assigned,R1,G00006,
20260909_105622_cfaf43,19,task_created,,G00007,type=PUTAWAY pickup=RECV dropoff=C-04
20260909_105622_cfaf43,19,task_assigned,R13,G00007,
20260909_105622_cfaf43,19,task_created,,G00008,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_105622_cfaf43,19,task_assigned,R10,G00008,
20260909_105622_cfaf43,20,robot_blocked,R7,,"{""x"": 8, ""y"": 7}"
20260909_105622_cfaf43,22,robot_blocked,R1,,"{""x"": 9, ""y"": 7}"
20260909_105622_cfaf43,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_105622_cfaf43,23,task_assigned,R16,G00009,
20260909_105622_cfaf43,25,task_created,,G00010,type=PICK pickup=F-06 dropoff=PICK-1
20260909_105622_cfaf43,25,task_assigned,R12,G00010,
20260909_105622_cfaf43,26,task_completed,R4,G00003,
20260909_105622_cfaf43,27,task_completed,R7,G00002,
20260909_105622_cfaf43,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=C-04
20260909_105622_cfaf43,27,task_assigned,R4,G00011,
20260909_105622_cfaf43,28,task_completed,R16,G00009,
20260909_105622_cfaf43,30,task_completed,R8,G00005,
20260909_105622_cfaf43,31,task_created,,G00012,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_105622_cfaf43,31,task_assigned,R2,G00012,
20260909_105622_cfaf43,32,robot_blocked,R4,,"{""x"": 13, ""y"": 9}"
20260909_105622_cfaf43,33,task_completed,R10,G00008,
20260909_105622_cfaf43,33,robot_blocked,R12,,"{""x"": 13, ""y"": 8}"
20260909_105622_cfaf43,35,task_created,,G00013,type=PUTAWAY pickup=RECV dropoff=A-07
20260909_105622_cfaf43,35,task_assigned,R7,G00013,
20260909_105622_cfaf43,35,task_created,,G00014,type=PICK pickup=E-04 dropoff=PICK-1
20260909_105622_cfaf43,35,task_assigned,R8,G00014,
20260909_105622_cfaf43,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_105622_cfaf43,37,task_assigned,R16,G00015,
20260909_105622_cfaf43,40,task_completed,R1,G00006,
20260909_105622_cfaf43,42,task_completed,R16,G00015,
20260909_105622_cfaf43,43,task_created,,G00016,type=PUTAWAY pickup=BUFFER dropoff=C-06
20260909_105622_cfaf43,43,task_assigned,R10,G00016,
20260909_105622_cfaf43,43,task_created,,G00017,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_105622_cfaf43,43,task_assigned,R1,G00017,
20260909_105622_cfaf43,43,robot_blocked,R8,,"{""x"": 6, ""y"": 6}"
20260909_105622_cfaf43,45,task_created,,G00018,type=PICK pickup=D-08 dropoff=PICK-1
20260909_105622_cfaf43,45,task_assigned,R5,G00018,
20260909_105622_cfaf43,46,task_completed,R2,G00012,
20260909_105622_cfaf43,49,task_completed,R8,G00014,
20260909_105622_cfaf43,50,task_completed,R1,G00017,
20260909_105622_cfaf43,51,task_created,,G00019,type=PUTAWAY pickup=RECV dropoff=B-06
20260909_105622_cfaf43,51,task_assigned,R8,G00019,
20260909_105622_cfaf43,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-1
