tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,16,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,16,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,15,0,0,0,0,0,99.9781,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,15,0,0,0,0,0,99.9562,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,14,0,0,0,0,0,99.9125,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,14,0,0,0,0,0,99.8688,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,13,0,0,0,0,0,99.8031,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,13,0,0,0,0,0,99.7281,97.75,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,12,0,0,0,0,0,99.6313,97.25,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,12,0,0,0,0,0,99.525,96.75,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,11,0,0,0,0,0,99.3969,96.25,100.0,0.0,0.0,0.0,0.0
12,0,3.0,0.0,2.0,2.0,0.0,3,13,0,0,0,0,0,99.2594,95.75,100.0,0.0,0.0,0.0,0.0
13,0,3.0,0.0,0.0,2.0,0.0,3,13,0,0,0,0,0,99.1844,95.75,100.0,0.0,0.0,0.0,0.0
14,0,3.0,0.0,0.0,2.0,0.0,3,13,0,0,0,0,0,99.1,95.75,100.0,0.0,0.0,0.0,0.0
15,0,4.0,1.0,0.0,2.0,0.0,4,12,0,0,0,0,0,98.9938,95.4,100.0,0.0,0.0,0.0,0.0
16,0,4.0,0.0,0.0,2.0,0.0,4,12,0,0,0,0,0,98.8875,95.05,100.0,0.0,0.0,0.0,0.0
17,0,4.0,0.0,0.0,2.0,0.0,4,12,0,0,0,0,0,98.7813,94.7,100.0,0.0,0.0,0.0,0.0
18,0,4.0,0.0,0.0,2.0,0.0,4,12,0,0,0,0,0,98.675,94.35,100.0,0.0,0.0,0.0,0.0
19,0,6.0,2.0,0.0,2.0,0.0,6,10,0,0,0,0,0,98.525,93.85,100.0,0.0,0.0,0.0,0.0
20,0,6.0,0.0,0.0,2.0,0.0,5,10,1,0,0,0,0,98.4063,93.65,100.0,0.0,0.0,1.0,1.0
21,0,6.0,0.0,0.0,2.0,0.0,5,10,1,0,0,0,0,98.2875,93.25,100.0,0.0,0.0,1.0,2.0
22,0,6.0,0.0,0.0,2.0,0.0,5,10,1,0,0,0,0,98.1906,92.75,100.0,1.0,1.0,2.0,4.0
