run_id,tick,event_type,robot_id,task_id,details
20260909_114401_d9f60d,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=E-07
20260909_114401_d9f60d,3,task_assigned,R11,G00001,
20260909_114401_d9f60d,5,task_created,,G00002,type=PICK pickup=B-04 dropoff=PICK-1
20260909_114401_d9f60d,5,task_assigned,R1,G00002,
20260909_114401_d9f60d,7,task_created,,G00003,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_114401_d9f60d,7,task_assigned,R2,G00003,
20260909_114401_d9f60d,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_114401_d9f60d,9,task_assigned,R4,G00004,
20260909_114401_d9f60d,11,task_created,,G00005,type=PUTAWAY pickup=RECV dropoff=C-02
20260909_114401_d9f60d,11,task_assigned,R12,G00005,
20260909_114401_d9f60d,13,task_completed,R4,G00004,
20260909_114401_d9f60d,14,task_completed,R11,G00001,
20260909_114401_d9f60d,15,task_created,,G00006,type=PICK pickup=F-07 dropoff=PICK-3
20260909_114401_d9f60d,15,task_assigned,R11,G00006,
20260909_114401_d9f60d,17,task_completed,R1,G00002,
20260909_114401_d9f60d,19,task_created,,G00007,type=PUTAWAY pickup=RECV dropoff=B-02
20260909_114401_d9f60d,19,task_assigned,R8,G00007,
20260909_114401_d9f60d,19,task_created,,G00008,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_114401_d9f60d,19,task_assigned,R1,G00008,
20260909_114401_d9f60d,20,task_completed,R2,G00003,
20260909_114401_d9f60d,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_114401_d9f60d,23,task_assigned,R3,G00009,
20260909_114401_d9f60d,25,task_created,,G00010,type=PICK pickup=D-01 dropoff=PICK-2
20260909_114401_d9f60d,25,task_assigned,R6,G00010,
20260909_114401_d9f60d,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=B-03
20260909_114401_d9f60d,27,task_assigned,R2,G00011,
20260909_114401_d9f60d,28,task_completed,R3,G00009,
20260909_114401_d9f60d,30,robot_blocked,R6,,"{""x"": 19, ""y"": 5}"
20260909_114401_d9f60d,30,robot_blocked,R11,,"{""x"": 19, ""y"": 4}"
20260909_114401_d9f60d,31,task_created,,G00012,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_114401_d9f60d,31,task_assigned,R5,G00012,
20260909_114401_d9f60d,33,task_completed,R1,G00008,
20260909_114401_d9f60d,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=F-06
20260909_114401_d9f60d,35,task_assigned,R1,G00013,
20260909_114401_d9f60d,35,task_created,,G00014,type=PICK pickup=E-06 dropoff=PICK-2
20260909_114401_d9f60d,35,task_assigned,R3,G00014,
20260909_114401_d9f60d,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_114401_d9f60d,37,task_assigned,R4,G00015,
20260909_114401_d9f60d,40,robot_blocked,R1,,"{""x"": 13, ""y"": 9}"
20260909_114401_d9f60d,41,robot_blocked,R12,,"{""x"": 13, ""y"": 3}"
20260909_114401_d9f60d,42,task_completed,R4,G00015,
20260909_114401_d9f60d,43,task_created,,G00016,type=PUTAWAY pickup=RECV dropoff=C-05
20260909_114401_d9f60d,43,task_assigned,R9,G00016,
20260909_114401_d9f60d,43,task_created,,G00017,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_114401_d9f60d,43,task_assigned,R7,G00017,
20260909_114401_d9f60d,44,task_completed,R12,G00005,
20260909_114401_d9f60d,44,task_completed,R11,G00006,
20260909_114401_d9f60d,45,task_completed,R6,G00010,
20260909_114401_d9f60d,45,task_completed,R5,G00012,
20260909_114401_d9f60d,45,task_created,,G00018,type=PICK pickup=E-01 dropoff=PICK-2
20260909_114401_d9f60d,45,task_assigned,R12,G00018,
20260909_114401_d9f60d,46,task_completed,R8,G00007,
20260909_114401_d9f60d,47,task_completed,R2,G00011,
20260909_114401_d9f60d,51,task_created,,G00019,type=PUTAWAY pickup=RECV dropoff=A-07
20260909_114401_d9f60d,51,task_assigned,R8,G00019,
20260909_114401_d9f60d,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_114401_d9f60d,51,task_assigned,R4,G00020,
20260909_114401_d9f60d,51,robot_blocked,R7,,"{""x"": 20, ""y"": 9}"
20260909_114401_d9f60d,55,task_created,,G00021,type=PICK pickup=F-05 dropoff=PICK-3
20260909_114401_d9f60d,55,task_assigned,R2,G00021,
20260909_114401_d9f60d,55,task_created,,G00022,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_114401_d9f60d,55,task_assigned,R6,G00022,
20260909_114401_d9f60d,56,task_completed,R4,G00020,
20260909_114401_d9f60d,56,robot_blocked,R8,,"{""x"": 6, ""y"": 2}"
20260909_114401_d9f60d,59,task_created,,G00023,type=PUTAWAY pickup=BUFFER dropoff=G-07
20260909_114401_d9f60d,59,task_assigned,R5,G00023,
20260909_114401_d9f60d,62,task_completed,R7,G00017,
20260909_114401_d9f60d,65,task_completed,R3,G00014,
20260909_114401_d9f60d,65,task_created,,G00024,type=PICK pickup=B-08 dropoff=PICK-1
20260909_114401_d9f60d,65,task_assigned,R7,G00024,
20260909_114401_d9f60d,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_114401_d9f60d,65,task_assigned,R4,G00025,
20260909_114401_d9f60d,65,robot_blocked,R5,,"{""x"": 12, ""y"": 9}"
20260909_114401_d9f60d,67,task_created,,G00026,type=PUTAWAY pickup=BUFFER dropoff=B-08
20260909_114401_d9f60d,67,task_assigned,R13,G00026,
20260909_114401_d9f60d,67,task_created,,G00027,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_114401_d9f60d,67,task_assigned,R11,G00027,
20260909_114401_d9f60d,70,task_completed,R4,G00025,
20260909_114401_d9f60d,72,task_completed,R2,G00021,
20260909_114401_d9f60d,73,robot_blocked,R9,,"{""x"": 9, ""y"": 4}"
20260909_114401_d9f60d,75,task_created,,G00028,type=PUTAWAY pickup=RECV dropoff=F-06
20260909_114401_d9f60d,75,task_assigned,R4,G00028,
20260909_114401_d9f60d,75,task_created,,G00029,type=PICK pickup=F-03 dropoff=PICK-3
20260909_114401_d9f60d,75,task_assigned,R3,G00029,
20260909_114401_d9f60d,76,task_completed,R8,G00019,
20260909_114401_d9f60d,77,robot_blocked,R3,,"{""x"": 12, ""y"": 6}"
20260909_114401_d9f60d,79,task_completed,R9,G00016,
20260909_114401_d9f60d,79,task_completed,R6,G00022,
20260909_114401_d9f60d,79,task_created,,G00030,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_114401_d9f60d,79,task_assigned,R2,G00030,
20260909_114401_d9f60d,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_114401_d9f60d,79,task_assigned,R10,G00031,
20260909_114401_d9f60d,81,robot_blocked,R13,,"{""x"": 11, ""y"": 7}"
20260909_114401_d9f60d,82,task_completed,R11,G00027,
20260909_114401_d9f60d,83,task_created,,G00032,type=PUTAWAY pickup=RECV dropoff=A-03
20260909_114401_d9f60d,83,task_assigned,R8,G00032,
20260909_114401_d9f60d,85,task_completed,R12,G00018,
20260909_114401_d9f60d,85,task_created,,G00033,type=PICK pickup=F-06 dropoff=PICK-1
20260909_114401_d9f60d,85,task_assigned,R11,G00033,
20260909_114401_d9f60d,87,robot_blocked,R2,,"{""x"": 16, ""y"": 12}"
20260909_114401_d9f60d,88,task_completed,R5,G00023,
20260909_114401_d9f60d,89,task_completed,R2,G00030,
20260909_114401_d9f60d,91,task_created,,G00034,type=PUTAWAY pickup=BUFFER dropoff=G-06
20260909_114401_d9f60d,91,task_assigned,R9,G00034,
20260909_114401_d9f60d,91,task_created,,G00035,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_114401_d9f60d,91,task_assigned,R12,G00035,
20260909_114401_d9f60d,93,task_completed,R10,G00031,
20260909_114401_d9f60d,93,task_created,,G00036,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_114401_d9f60d,93,task_assigned,R6,G00036,
20260909_114401_d9f60d,95,task_created,,G00037,type=PICK pickup=E-08 dropoff=PICK-1
20260909_114401_d9f60d,95,task_assigned,R10,G00037,
20260909_114401_d9f60d,96,task_completed,R8,G00032,
20260909_114401_d9f60d,99,task_completed,R6,G00036,
20260909_114401_d9f60d,99,task_created,,G00038,type=PUTAWAY pickup=BUFFER dropoff=C-07
20260909_114401_d9f60d,99,task_assigned,R5,G00038,
20260909_114401_d9f60d,103,task_completed,R3,G00029,
20260909_114401_d9f60d,103,task_completed,R9,G00034,
20260909_114401_d9f60d,103,task_created,,G00039,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_114401_d9f60d,103,task_assigned,R2,G00039,
20260909_114401_d9f60d,104,task_completed,R1,G00013,
20260909_114401_d9f60d,105,task_created,,G00040,type=PICK pickup=E-05 dropoff=PICK-3
20260909_114401_d9f60d,105,task_assigned,R8,G00040,
20260909_114401_d9f60d,106,task_completed,R11,G00033,
20260909_114401_d9f60d,106,robot_blocked,R4,,"{""x"": 8, ""y"": 4}"
20260909_114401_d9f60d,106,robot_blocked,R10,,"{""x"": 6, ""y"": 8}"
20260909_114401_d9f60d,107,task_completed,R12,G00035,
20260909_114401_d9f60d,107,task_created,,G00041,type=PUTAWAY pickup=RECV dropoff=D-02
20260909_114401_d9f60d,107,task_assigned,R11,G00041,
