tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,13,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,13,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,12,0,0,0,0,0,99.9731,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,12,0,0,0,0,0,99.9462,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,11,0,0,0,0,0,99.8923,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,11,0,0,0,0,0,99.8385,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,10,0,0,0,0,0,99.7462,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,10,0,0,0,0,0,99.6423,97.75,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,9,0,0,0,0,0,99.5115,97.25,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,9,0,0,0,0,0,99.3808,96.75,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,8,0,0,0,0,0,99.2115,96.25,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,8,0,0,0,0,0,99.0423,95.75,100.0,0.0,0.0,0.0,0.0
13,0,4.0,0.0,1.0,1.0,0.0,4,9,0,0,0,0,0,98.8731,95.25,100.0,0.0,0.0,0.0,0.0
14,0,3.0,0.0,1.0,2.0,0.0,3,10,0,0,0,0,0,98.7308,94.75,100.0,0.0,0.0,0.0,0.0
15,0,4.0,1.0,0.0,2.0,0.0,4,9,0,0,0,0,0,98.6,94.4,100.0,0.0,0.0,0.0,0.0
16,0,4.0,0.0,0.0,2.0,0.0,4,9,0,0,0,0,0,98.4692,94.05,100.0,0.0,0.0,0.0,0.0
17,0,3.0,0.0,1.0,3.0,0.0,3,10,0,0,0,0,0,98.3385,93.7,100.0,0.0,0.0,0.0,0.0
18,0,3.0,0.0,0.0,3.0,0.0,3,10,0,0,0,0,0,98.2462,93.35,100.0,0.0,0.0,0.0,0.0
19,0,5.0,2.0,0.0,3.0,0.0,5,8,0,0,0,0,0,98.0885,93.0,100.0,0.0,0.0,0.0,0.0
20,0,4.0,0.0,1.0,4.0,0.0,4,9,0,0,0,0,0,97.9308,92.65,100.0,0.0,0.0,0.0,0.0
21,0,4.0,0.0,0.0,4.0,0.0,4,9,0,0,0,0,0,97.8,92.15,100.0,0.0,0.0,0.0,0.0
22,0,4.0,0.0,0.0,4.0,0.0,4,9,0,0,0,0,0,97.6692,91.65,100.0,0.0,0.0,0.0,0.0
23,0,5.0,1.0,0.0,4.0,0.0,5,8,0,0,0,0,0,97.5115,91.15,100.0,0.0,0.0,0.0,0.0
24,0,5.0,0.0,0.0,4.0,0.0,5,8,0,0,0,0,0,97.3538,90.65,100.0,0.0,0.0,0.0,0.0
25,0,6.0,1.0,0.0,4.0,0.0,6,7,0,0,0,0,0,97.1692,90.15,100.0,0.0,0.0,0.0,0.0
26,0,6.0,0.0,0.0,4.0,0.0,6,7,0,0,0,0,0,96.9731,89.65,100.0,0.0,0.0,0.0,0.0
27,0,7.0,1.0,0.0,4.0,0.0,7,6,0,0,0,0,0,96.75,89.15,100.0,0.0,0.0,0.0,0.0
28,0,6.0,0.0,1.0,5.0,0.0,6,7,0,0,0,0,0,96.5154,88.65,100.0,0.0,0.0,0.0,0.0
29,0,6.0,0.0,0.0,5.0,0.0,6,7,0,0,0,0,0,96.3192,88.15,100.0,0.0,0.0,0.0,0.0
30,0,6.0,0.0,0.0,5.0,0.0,4,7,2,0,0,0,0,96.1885,87.8,100.0,0.0,0.0,2.0,2.0
