tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,11,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,11,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,10,0,0,0,0,0,99.9682,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,10,0,0,0,0,0,99.9364,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,9,0,0,0,0,0,99.8591,98.8,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,9,0,0,0,0,0,99.7818,98.3,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,8,0,0,0,0,0,99.6727,97.8,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,8,0,0,0,0,0,99.5636,97.3,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,7,0,0,0,0,0,99.4227,96.8,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,7,0,0,0,0,0,99.2682,96.3,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,6,0,0,0,0,0,99.0818,95.8,100.0,0.0,0.0,0.0,0.0
12,0,4.0,0.0,1.0,1.0,0.0,4,7,0,0,0,0,0,98.8955,95.3,100.0,0.0,0.0,0.0,0.0
13,0,4.0,0.0,0.0,1.0,0.0,4,7,0,0,0,0,0,98.7545,95.3,100.0,0.0,0.0,0.0,0.0
14,0,4.0,0.0,0.0,1.0,0.0,4,7,0,0,0,0,0,98.6,95.3,100.0,0.0,0.0,0.0,0.0
15,0,4.0,1.0,1.0,2.0,0.0,4,7,0,0,0,0,0,98.4,94.95,100.0,0.0,0.0,0.0,0.0
16,0,4.0,0.0,0.0,2.0,0.0,4,7,0,0,0,0,0,98.2455,94.6,100.0,0.0,0.0,0.0,0.0
17,0,3.0,0.0,1.0,3.0,0.0,3,8,0,0,0,0,0,98.0909,94.25,100.0,0.0,0.0,0.0,0.0
18,0,3.0,0.0,0.0,3.0,0.0,3,8,0,0,0,0,0,97.9682,93.75,100.0,0.0,0.0,0.0,0.0
19,0,5.0,2.0,0.0,3.0,0.0,5,6,0,0,0,0,0,97.7818,93.25,100.0,0.0,0.0,0.0,0.0
20,0,4.0,0.0,1.0,4.0,0.0,4,7,0,0,0,0,0,97.5955,92.75,100.0,0.0,0.0,0.0,0.0
21,0,4.0,0.0,0.0,4.0,0.0,4,7,0,0,0,0,0,97.4545,92.25,100.0,0.0,0.0,0.0,0.0
22,0,4.0,0.0,0.0,4.0,0.0,4,7,0,0,0,0,0,97.3,91.75,100.0,0.0,0.0,0.0,0.0
23,0,5.0,1.0,0.0,4.0,0.0,4,6,1,0,0,0,0,97.1455,91.25,100.0,0.0,0.0,1.0,1.0
24,0,5.0,0.0,0.0,4.0,0.0,4,6,1,0,0,0,0,96.9591,90.75,100.0,1.0,1.0,1.0,2.0
25,0,6.0,1.0,0.0,4.0,0.0,6,5,0,0,0,0,0,96.7409,90.25,100.0,0.0,1.0,0.0,2.0
26,0,6.0,0.0,0.0,4.0,0.0,6,5,0,0,0,0,0,96.4955,89.75,100.0,0.0,1.0,0.0,2.0
27,0,7.0,1.0,0.0,4.0,0.0,7,4,0,0,0,0,0,96.2182,89.25,100.0,0.0,1.0,0.0,2.0
28,0,6.0,0.0,1.0,5.0,0.0,6,5,0,0,0,0,0,95.9409,88.75,100.0,0.0,1.0,0.0,2.0
29,0,6.0,0.0,0.0,5.0,0.0,6,5,0,0,0,0,0,95.6955,88.25,100.0,0.0,1.0,0.0,2.0
30,0,6.0,0.0,0.0,5.0,0.0,6,5,0,0,0,0,0,95.4364,87.75,100.0,0.0,1.0,0.0,2.0
