run_id,tick,event_type,robot_id,task_id,details
20260911_123132_7ba7b0,3,task_created,,G00001,type=PUTAWAY pickup=BUFFER dropoff=B-05
20260911_123132_7ba7b0,3,task_assigned,R6,G00001,
20260911_123132_7ba7b0,5,task_created,,G00002,type=PICK pickup=G-02 dropoff=PICK-2
20260911_123132_7ba7b0,5,task_assigned,R8,G00002,
20260911_123132_7ba7b0,7,task_created,,G00003,type=PACK pickup=PICK-2 dropoff=PACK-1
20260911_123132_7ba7b0,7,task_assigned,R3,G00003,
20260911_123132_7ba7b0,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-2
20260911_123132_7ba7b0,9,task_assigned,R11,G00004,
20260911_123132_7ba7b0,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=H-02
20260911_123132_7ba7b0,11,task_assigned,R13,G00005,
20260911_123132_7ba7b0,12,task_completed,R6,G00001,
20260911_123132_7ba7b0,15,task_completed,R3,G00003,
20260911_123132_7ba7b0,15,task_created,,G00006,type=PICK pickup=E-04 dropoff=PICK-3
20260911_123132_7ba7b0,15,task_assigned,R5,G00006,
20260911_123132_7ba7b0,17,task_completed,R11,G00004,
20260911_123132_7ba7b0,19,task_created,,G00007,type=PUTAWAY pickup=RECV dropoff=H-02
20260911_123132_7ba7b0,19,task_assigned,R6,G00007,
20260911_123132_7ba7b0,19,task_created,,G00008,type=PACK pickup=PICK-2 dropoff=PACK-2
20260911_123132_7ba7b0,19,task_assigned,R2,G00008,
20260911_123132_7ba7b0,20,task_completed,R8,G00002,
20260911_123132_7ba7b0,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-1
20260911_123132_7ba7b0,23,task_assigned,R11,G00009,
20260911_123132_7ba7b0,23,robot_blocked,R2,,"{""x"": 12, ""y"": 9}"
20260911_123132_7ba7b0,25,task_created,,G00010,type=PICK pickup=G-01 dropoff=PICK-3
20260911_123132_7ba7b0,25,task_assigned,R8,G00010,
20260911_123132_7ba7b0,25,robot_blocked,R8,,"{""x"": 13, ""y"": 8}"
20260911_123132_7ba7b0,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=A-07
20260911_123132_7ba7b0,27,task_assigned,R3,G00011,
20260911_123132_7ba7b0,28,task_completed,R11,G00009,
20260911_123132_7ba7b0,31,task_created,,G00012,type=PACK pickup=PICK-1 dropoff=PACK-1
20260911_123132_7ba7b0,31,task_assigned,R4,G00012,
20260911_123132_7ba7b0,32,task_completed,R2,G00008,
20260911_123132_7ba7b0,33,task_completed,R5,G00006,
20260911_123132_7ba7b0,34,task_completed,R13,G00005,
20260911_123132_7ba7b0,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=F-07
20260911_123132_7ba7b0,35,task_assigned,R13,G00013,
20260911_123132_7ba7b0,35,task_created,,G00014,type=PICK pickup=H-01 dropoff=PICK-1
20260911_123132_7ba7b0,35,task_assigned,R5,G00014,
20260911_123132_7ba7b0,36,robot_blocked,R13,,"{""x"": 20, ""y"": 4}"
