run_id,tick,event_type,robot_id,task_id,details
20260911_132119_b66777,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=C-03
20260911_132119_b66777,3,task_assigned,R7,G00001,
20260911_132119_b66777,5,task_created,,G00002,type=PICK pickup=H-08 dropoff=PICK-1
20260911_132119_b66777,5,task_assigned,R2,G00002,
20260911_132119_b66777,7,task_created,,G00003,type=PACK pickup=PICK-2 dropoff=PACK-2
20260911_132119_b66777,7,task_assigned,R13,G00003,
20260911_132119_b66777,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260911_132119_b66777,9,task_assigned,R1,G00004,
20260911_132119_b66777,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=B-05
20260911_132119_b66777,11,task_assigned,R12,G00005,
20260911_132119_b66777,15,task_completed,R13,G00003,
20260911_132119_b66777,15,task_created,,G00006,type=PICK pickup=A-08 dropoff=PICK-3
20260911_132119_b66777,15,task_assigned,R6,G00006,
20260911_132119_b66777,17,task_completed,R1,G00004,
20260911_132119_b66777,18,robot_blocked,R7,,"{""x"": 10, ""y"": 4}"
20260911_132119_b66777,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=B-08
20260911_132119_b66777,19,task_assigned,R10,G00007,
20260911_132119_b66777,19,task_created,,G00008,type=PACK pickup=PICK-2 dropoff=PACK-1
20260911_132119_b66777,19,task_assigned,R13,G00008,
20260911_132119_b66777,19,robot_blocked,R12,,"{""x"": 11, ""y"": 4}"
20260911_132119_b66777,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-1
20260911_132119_b66777,23,task_assigned,R1,G00009,
20260911_132119_b66777,23,robot_blocked,R2,,"{""x"": 10, ""y"": 4}"
20260911_132119_b66777,24,task_completed,R12,G00005,
20260911_132119_b66777,25,task_created,,G00010,type=PICK pickup=C-07 dropoff=PICK-2
20260911_132119_b66777,25,task_assigned,R9,G00010,
20260911_132119_b66777,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=A-05
20260911_132119_b66777,27,task_assigned,R11,G00011,
20260911_132119_b66777,28,task_completed,R10,G00007,
20260911_132119_b66777,28,task_completed,R1,G00009,
20260911_132119_b66777,31,task_completed,R13,G00008,
20260911_132119_b66777,31,task_created,,G00012,type=PACK pickup=PICK-2 dropoff=PACK-1
20260911_132119_b66777,31,task_assigned,R10,G00012,
20260911_132119_b66777,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=D-03
20260911_132119_b66777,35,task_assigned,R12,G00013,
20260911_132119_b66777,35,task_created,,G00014,type=PICK pickup=E-08 dropoff=PICK-1
20260911_132119_b66777,35,task_assigned,R5,G00014,
20260911_132119_b66777,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260911_132119_b66777,37,task_assigned,R1,G00015,
20260911_132119_b66777,38,task_completed,R9,G00010,
20260911_132119_b66777,39,task_completed,R6,G00006,
20260911_132119_b66777,42,task_completed,R7,G00001,
20260911_132119_b66777,42,task_completed,R1,G00015,
20260911_132119_b66777,43,task_created,,G00016,type=PUTAWAY pickup=RECV dropoff=D-05
20260911_132119_b66777,43,task_assigned,R7,G00016,
20260911_132119_b66777,43,task_created,,G00017,type=PACK pickup=PICK-1 dropoff=PACK-1
20260911_132119_b66777,43,task_assigned,R9,G00017,
20260911_132119_b66777,43,robot_blocked,R10,,"{""x"": 10, ""y"": 11}"
20260911_132119_b66777,45,task_completed,R10,G00012,
