factor,value,rep,seed,run_id,stop_reason,feasible,cost_feasible,p95_cycle_time,cost_per_task,tasks_completed,tasks_created,simulation_ticks,average_cycle_time,average_throughput,total_blocked_ticks,total_replans,sla_target_ticks,sla_evaluated_tasks,late_tasks,sla_compliance_rate,total_operating_cost
baseline,,0,478163327,20260903_113835_72b74a,target_reached,True,True,50.29999999999998,0.038759999999999996,50,58,153,21.28,0.32679738562091504,107,27,300,50,0,1.0,1.938
baseline,,1,107420369,20260903_113836_df8790,target_reached,True,True,49.099999999999994,0.039013333333333323,50,58,154,20.6,0.3246753246753247,88,27,300,50,0,1.0,1.9506666666666663
baseline,,2,1181241943,2.0260903113837244e+38,target_reached,True,True,49.19999999999999,0.039013333333333323,50,58,154,26.7,0.3246753246753247,159,29,300,50,0,1.0,1.9506666666666663
num_robots,6,0,478163327,20260903_113838_1e932a,target_reached,True,True,98.55,0.04546666666666666,50,129,341,47.4,0.1466275659824047,182,42,300,50,0,1.0,2.273333333333333
num_robots,6,1,107420369,20260903_113839_1420a9,target_reached,True,True,89.64999999999999,0.040933333333333335,50,118,307,41.16,0.16286644951140064,75,18,300,50,0,1.0,2.046666666666667
num_robots,6,2,1181241943,20260903_113840_89aced,target_reached,True,True,115.29999999999998,0.044266666666666656,50,127,332,50.72,0.15060240963855423,120,25,300,50,0,1.0,2.213333333333333
num_robots,8,0,478163327,20260903_113842_6a1adf,target_reached,True,True,76.1,0.04108,50,91,237,40.68,0.2109704641350211,215,48,300,50,0,1.0,2.054
num_robots,8,1,107420369,20260903_113843_f78a44,target_reached,True,True,48.19999999999999,0.03154666666666667,50,69,182,28.14,0.27472527472527475,86,18,300,50,0,1.0,1.5773333333333333
num_robots,8,2,1181241943,20260903_113844_8b3261,target_reached,True,True,56.099999999999994,0.034666666666666665,50,76,200,33.24,0.25,96,18,300,50,0,1.0,1.7333333333333334
num_robots,10,0,478163327,20260903_113845_891f6c,target_reached,True,True,55.749999999999986,0.035840000000000004,50,64,168,26.76,0.2976190476190476,164,36,300,50,0,1.0,1.7920000000000003
num_robots,10,1,107420369,20260903_113846_6c561d,target_reached,True,True,55.64999999999999,0.03946666666666667,50,70,185,29.18,0.2702702702702703,139,33,300,50,0,1.0,1.9733333333333334
num_robots,10,2,1181241943,20260903_113847_b3abf8,target_reached,True,True,56.749999999999986,0.039253333333333335,50,69,184,32.12,0.2717391304347826,156,37,300,50,0,1.0,1.9626666666666666
