factor,value,rep,seed,run_id,stop_reason,feasible,cost_feasible,p95_cycle_time,cost_per_task,tasks_completed,tasks_created,simulation_ticks,average_cycle_time,average_throughput,total_blocked_ticks,total_replans,sla_target_ticks,sla_evaluated_tasks,late_tasks,sla_compliance_rate,total_operating_cost
baseline,,0,478163327,20260903_114004_2be479,target_reached,True,True,50.29999999999998,0.038759999999999996,50,58,153,21.28,0.32679738562091504,107,27,300,50,0,1.0,1.938
baseline,,1,107420369,20260903_114004_9c2d9d,target_reached,True,True,49.099999999999994,0.039013333333333323,50,58,154,20.6,0.3246753246753247,88,27,300,50,0,1.0,1.9506666666666663
baseline,,2,1181241943,20260903_114005_ed958d,target_reached,True,True,49.19999999999999,0.039013333333333323,50,58,154,26.7,0.3246753246753247,159,29,300,50,0,1.0,1.9506666666666663
num_robots,6,0,478163327,2.0260903114006315e+19,target_reached,True,True,98.55,0.04546666666666666,50,129,341,47.4,0.1466275659824047,182,42,300,50,0,1.0,2.273333333333333
num_robots,6,1,107420369,20260903_114008_ee8f5e,target_reached,True,True,89.64999999999999,0.040933333333333335,50,118,307,41.16,0.16286644951140064,75,18,300,50,0,1.0,2.046666666666667
num_robots,6,2,1181241943,20260903_114009_a92672,target_reached,True,True,115.29999999999998,0.044266666666666656,50,127,332,50.72,0.15060240963855423,120,25,300,50,0,1.0,2.213333333333333
num_robots,8,0,478163327,20260903_114010_42c11e,target_reached,True,True,76.1,0.04108,50,91,237,40.68,0.2109704641350211,215,48,300,50,0,1.0,2.054
num_robots,8,1,107420369,20260903_114011_4aea8f,target_reached,True,True,48.19999999999999,0.03154666666666667,50,69,182,28.14,0.27472527472527475,86,18,300,50,0,1.0,1.5773333333333333
num_robots,8,2,1181241943,20260903_114012_34597d,target_reached,True,True,56.099999999999994,0.034666666666666665,50,76,200,33.24,0.25,96,18,300,50,0,1.0,1.7333333333333334
num_robots,10,0,478163327,20260903_114013_98120b,target_reached,True,True,55.749999999999986,0.035840000000000004,50,64,168,26.76,0.2976190476190476,164,36,300,50,0,1.0,1.7920000000000003
num_robots,10,1,107420369,20260903_114014_0df13c,target_reached,True,True,55.64999999999999,0.03946666666666667,50,70,185,29.18,0.2702702702702703,139,33,300,50,0,1.0,1.9733333333333334
num_robots,10,2,1181241943,20260903_114016_3b86cf,target_reached,True,True,56.749999999999986,0.039253333333333335,50,69,184,32.12,0.2717391304347826,156,37,300,50,0,1.0,1.9626666666666666
conflict_manager,local_yield,0,478163327,20260903_114017_7fff37,target_reached,True,True,40.55,0.03850666666666666,50,58,152,20.04,0.32894736842105265,70,19,300,50,0,1.0,1.9253333333333331
conflict_manager,local_yield,1,107420369,20260903_114018_52da81,target_reached,True,True,42.64999999999999,0.03825333333333333,50,58,151,20.54,0.33112582781456956,79,22,300,50,0,1.0,1.9126666666666663
conflict_manager,local_yield,2,1181241943,20260903_114019_0e38b6,target_reached,True,True,46.64999999999999,0.039013333333333323,50,58,154,19.66,0.3246753246753247,66,17,300,50,0,1.0,1.9506666666666663
conflict_manager,priority_reservation,0,478163327,20260903_114020_87654e,target_reached,True,True,46.5,0.03824836601307189,51,58,154,21.745098039215687,0.33116883116883117,108,31,300,51,0,1.0,1.9506666666666663
conflict_manager,priority_reservation,1,107420369,20260903_114021_0e9fbe,target_reached,True,True,42.0,0.039013333333333323,50,58,154,18.5,0.3246753246753247,62,21,300,50,0,1.0,1.9506666666666663
conflict_manager,priority_reservation,2,1181241943,20260903_114022_0f4640,target_reached,True,True,43.55,0.038759999999999996,50,58,153,20.86,0.32679738562091504,78,23,300,50,0,1.0,1.938
charger_capacity,2,0,478163327,20260903_114022_a13a20,target_reached,True,True,50.29999999999998,0.037739999999999996,50,58,153,21.28,0.32679738562091504,107,27,300,50,0,1.0,1.8869999999999998
charger_capacity,2,1,107420369,20260903_114023_3bb2b3,target_reached,True,True,49.099999999999994,0.037986666666666655,50,58,154,20.6,0.3246753246753247,88,27,300,50,0,1.0,1.8993333333333329
charger_capacity,2,2,1181241943,20260903_114024_22bf5e,target_reached,True,True,49.19999999999999,0.037986666666666655,50,58,154,26.7,0.3246753246753247,159,29,300,50,0,1.0,1.8993333333333329
charger_capacity,6,0,478163327,20260903_114025_d1caa4,target_reached,True,True,50.29999999999998,0.039779999999999996,50,58,153,21.28,0.32679738562091504,107,27,300,50,0,1.0,1.9889999999999999
charger_capacity,6,1,107420369,20260903_114026_dab634,target_reached,True,True,49.099999999999994,0.04003999999999999,50,58,154,20.6,0.3246753246753247,88,27,300,50,0,1.0,2.002
charger_capacity,6,2,1181241943,20260903_114027_d3469a,target_reached,True,True,49.19999999999999,0.04003999999999999,50,58,154,26.7,0.3246753246753247,159,29,300,50,0,1.0,2.002
